id,carat,cut,color,clarity,depth,table,x,y,z,city
331,0.71,Good,F,SI1,63.7,58.0,5.65,5.62,3.59,Tel Aviv
332,0.37,Very Good,G,VS1,63.1,56.0,4.59,4.57,2.89,Surat
333,1.5,Ideal,I,SI1,62.7,57.0,7.21,7.3,4.55,Kimberly
334,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,Madrid
335,0.56,Premium,E,VS2,61.8,59.0,5.27,5.34,3.28,Dubai
336,2.01,Ideal,J,VS1,60.9,56.0,8.14,8.18,4.97,Las Vegas
337,0.32,Ideal,E,VVS2,62.0,55.0,4.4,4.38,2.72,Paris
338,0.37,Ideal,G,VVS2,60.7,55.0,4.66,4.7,2.84,Kimberly
339,1.21,Premium,D,SI2,62.2,60.0,6.83,6.8,4.24,Tel Aviv
340,0.31,Ideal,F,VS2,61.6,56.0,4.35,4.39,2.69,Madrid
341,0.54,Very Good,D,SI1,62.1,58.0,5.21,5.23,3.24,Antwerp
342,0.26,Ideal,F,VVS2,62.5,56.0,4.1,4.12,2.57,Surat
343,1.01,Premium,D,SI2,60.9,62.0,6.45,6.43,3.92,Madrid
344,1.06,Good,E,SI2,63.9,60.0,6.45,6.41,4.11,London
345,0.53,Ideal,F,VS2,61.1,56.0,5.26,5.22,3.2,Kimberly
346,0.31,Very Good,D,SI1,63.5,56.0,4.31,4.29,2.73,Dubai
347,0.7,Very Good,F,VS2,62.9,57.0,5.59,5.63,3.53,Kimberly
348,1.01,Ideal,D,SI2,63.0,54.0,6.43,6.39,4.04,Tel Aviv
349,0.32,Ideal,E,VS2,62.8,54.0,4.38,4.35,2.74,Paris
350,0.71,Ideal,D,VS2,60.1,56.0,5.77,5.83,3.48,Madrid
351,0.27,Ideal,H,VS1,61.6,56.0,4.18,4.2,2.58,Kimberly
352,1.04,Very Good,I,I1,61.6,61.0,6.45,6.47,3.98,New York City
353,0.56,Ideal,F,VS1,61.7,54.0,5.34,5.3,3.28,Amsterdam
354,0.33,Ideal,H,VS1,61.9,55.0,4.46,4.49,2.77,Surat
355,0.51,Ideal,H,VS1,62.7,57.0,5.08,5.13,3.2,Kimberly
356,0.32,Ideal,E,VS2,62.1,56.0,4.38,4.41,2.73,Paris
357,1.51,Premium,E,SI1,62.8,59.0,7.3,7.26,4.57,Surat
358,0.5,Very Good,H,VS1,61.6,57.0,5.11,5.13,3.15,Surat
359,0.23,Very Good,F,VVS2,58.1,63.0,4.04,4.08,2.36,Dubai
360,0.4,Premium,F,VS2,62.1,58.0,4.76,4.71,2.94,Zurich
361,1.03,Ideal,G,VVS1,62.4,57.0,6.47,6.39,4.01,London
362,0.3,Ideal,I,VVS1,62.1,54.0,4.29,4.31,2.67,Kimberly
363,1.7,Premium,J,VS2,61.0,59.0,7.66,7.62,4.66,Las Vegas
364,0.96,Fair,H,VS2,68.8,56.0,6.11,5.98,4.16,Luxembourg
365,0.25,Ideal,E,VVS1,61.2,57.0,4.12,4.08,2.51,Paris
366,0.3,Premium,I,VVS1,62.5,60.0,4.27,4.24,2.66,New York City
367,0.9,Good,F,VS2,60.0,58.0,6.21,6.26,3.74,New York City
368,0.5,Ideal,D,VS2,61.5,57.0,5.07,5.11,3.13,Kimberly
369,0.3,Ideal,G,VS1,61.8,56.0,4.32,4.35,2.68,Paris
370,0.31,Premium,F,VS2,62.3,59.0,4.29,4.34,2.69,Zurich
371,0.28,Ideal,F,IF,61.4,57.0,4.22,4.25,2.6,Tel Aviv
372,1.68,Good,E,I1,64.3,60.0,7.44,7.48,4.8,Las Vegas
373,0.3,Ideal,G,VVS1,62.1,56.0,4.35,4.28,2.68,Kimberly
374,0.24,Very Good,F,VS1,62.0,56.0,3.94,3.99,2.46,Dubai
375,0.41,Ideal,D,SI1,60.5,57.0,4.81,4.85,2.92,Tel Aviv
376,0.32,Ideal,G,VS1,60.7,56.0,4.43,4.46,2.7,Surat
377,1.01,Very Good,I,SI1,59.7,60.0,6.49,6.55,3.89,London
378,0.62,Premium,E,VVS2,62.0,56.0,5.48,5.42,3.38,Surat
379,0.3,Ideal,F,VS2,62.6,54.0,4.3,4.33,2.7,Zurich
380,1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,Zurich
381,0.23,Very Good,E,VVS1,59.3,62.0,3.99,4.0,2.37,Surat
382,0.3,Ideal,H,VVS2,61.3,56.0,4.35,4.33,2.66,Zurich
383,1.32,Ideal,G,VS2,61.1,57.0,7.07,7.13,4.34,Las Vegas
384,0.5,Very Good,E,SI2,59.9,57.0,5.12,5.16,3.08,London
385,0.41,Premium,H,SI1,62.9,58.0,4.73,4.72,2.97,Surat
386,2.03,Premium,E,SI2,61.5,59.0,8.24,8.16,5.04,Kimberly
387,1.21,Premium,E,VVS2,61.9,58.0,6.84,6.79,4.22,New York City
388,0.32,Ideal,E,VS2,62.0,57.0,4.41,4.39,2.73,Luxembourg
389,0.39,Very Good,G,VS2,60.4,61.0,4.67,4.7,2.83,New York City
390,0.7,Ideal,I,VVS1,61.8,56.0,5.69,5.73,3.53,New York City
391,0.34,Premium,H,VVS1,61.2,58.0,4.51,4.48,2.75,Kimberly
392,1.07,Ideal,G,VVS2,61.5,56.0,6.58,6.6,4.05,Tel Aviv
393,0.31,Ideal,I,VVS1,62.2,53.0,4.36,4.38,2.72,Paris
394,0.6,Very Good,G,VS1,61.9,56.0,5.41,5.45,3.36,Madrid
395,1.09,Premium,I,VS2,60.1,59.0,6.74,6.67,4.03,Amsterdam
396,0.3,Premium,D,VS2,60.3,60.0,4.31,4.28,2.59,Madrid
397,0.53,Very Good,G,VVS1,60.3,54.0,5.29,5.33,3.2,Zurich
398,0.38,Premium,E,VS1,60.7,59.0,4.73,4.69,2.86,Luxembourg
399,0.72,Very Good,E,SI2,59.7,59.0,5.77,5.82,3.46,Luxembourg
400,1.0,Premium,F,SI1,60.8,59.0,6.45,6.41,3.91,Paris
401,0.34,Premium,D,SI2,60.8,60.0,4.53,4.49,2.74,Antwerp
402,0.8,Very Good,I,SI1,61.9,56.0,5.94,5.98,3.69,Antwerp
403,1.03,Premium,D,VVS2,61.7,59.0,6.48,6.43,3.98,Las Vegas
404,0.56,Premium,H,SI1,61.3,60.0,5.28,5.23,3.22,Luxembourg
405,0.39,Ideal,D,VS1,62.0,57.0,4.71,4.67,2.91,Kimberly
406,0.24,Ideal,H,IF,62.5,54.0,3.97,4.0,2.49,Paris
407,2.19,Very Good,E,SI2,62.4,61.0,8.23,8.31,5.16,Kimberly
408,0.5,Ideal,F,VVS2,62.0,53.6,5.09,5.13,3.18,Madrid
409,1.23,Premium,I,VS2,61.7,58.0,6.87,6.85,4.23,Zurich
410,0.31,Ideal,E,VVS2,61.6,55.0,4.37,4.4,2.7,Madrid
411,0.31,Ideal,D,SI1,61.7,57.0,4.38,4.34,2.69,Zurich
412,1.19,Premium,I,SI2,60.1,59.0,6.9,6.82,4.12,Surat
413,0.54,Good,E,SI1,61.5,56.0,5.22,5.26,3.23,Surat
414,1.29,Premium,H,VS2,61.2,60.0,7.03,6.95,4.28,Antwerp
415,0.41,Ideal,G,SI1,62.9,56.0,4.75,4.7,2.97,Las Vegas
416,0.53,Ideal,G,SI1,61.0,55.0,5.23,5.26,3.2,New York City
417,1.2,Good,G,VS1,63.4,56.0,6.7,6.74,4.26,Dubai
418,0.3,Ideal,J,SI1,62.3,57.0,4.27,4.3,2.67,Luxembourg
419,1.2,Premium,I,SI2,60.0,58.0,6.91,6.93,4.15,New York City
420,1.54,Premium,G,VS1,61.9,59.0,7.37,7.34,4.55,Luxembourg
421,1.03,Fair,H,SI1,65.1,57.0,6.43,6.36,4.16,London
422,1.12,Ideal,G,SI2,61.5,57.0,6.74,6.68,4.13,Kimberly
423,0.32,Ideal,G,VVS1,62.4,55.0,4.38,4.37,2.73,Dubai
424,0.53,Ideal,H,SI1,62.4,59.0,5.18,5.21,3.24,New York City
425,0.23,Very Good,D,VS1,61.8,57.0,3.9,3.93,2.42,Madrid
426,0.31,Premium,H,VVS2,61.9,58.0,4.33,4.3,2.67,New York City
427,2.01,Very Good,I,SI1,63.5,55.0,8.07,8.01,5.11,Madrid
428,0.51,Ideal,E,VS2,61.7,54.0,5.18,5.13,3.18,Madrid
429,1.23,Very Good,H,VS1,61.3,53.0,6.93,6.98,4.26,Luxembourg
430,0.81,Ideal,G,IF,62.4,54.0,5.93,5.99,3.72,Luxembourg
431,2.03,Very Good,I,VS2,61.4,59.0,8.06,8.12,4.97,New York City
432,0.7,Good,G,SI1,64.6,59.0,5.49,5.54,3.56,Madrid
433,0.71,Ideal,G,VVS2,62.5,57.0,5.73,5.7,3.57,Las Vegas
434,0.3,Ideal,H,VVS2,62.6,55.0,4.25,4.28,2.67,Luxembourg
435,0.71,Ideal,E,VS2,61.6,56.0,5.71,5.75,3.53,Madrid
436,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,Zurich
437,0.41,Ideal,G,VVS1,61.0,55.0,4.8,4.82,2.93,Surat
438,1.0,Very Good,F,VS1,60.4,59.0,6.4,6.51,3.9,Surat
439,0.39,Very Good,E,SI2,63.0,61.0,4.62,4.65,2.92,Surat
440,0.8,Good,F,VS1,59.0,60.9,6.03,6.04,3.56,Amsterdam
441,0.53,Premium,H,VS1,62.3,58.0,5.17,5.13,3.21,Zurich
442,0.41,Very Good,I,VVS2,62.9,58.0,4.71,4.74,2.97,Dubai
443,0.32,Premium,H,VS2,61.7,59.0,4.4,4.35,2.7,Tel Aviv
444,0.41,Good,F,VS1,58.0,61.0,4.86,4.9,2.83,London
445,0.41,Ideal,E,VS1,60.4,55.0,4.85,4.89,2.94,Kimberly
446,0.71,Very Good,G,SI1,63.4,58.0,5.65,5.68,3.59,Amsterdam
447,1.0,Premium,G,VS2,60.6,60.0,6.4,6.3,3.85,Amsterdam
448,0.3,Ideal,E,VVS2,61.4,57.0,4.32,4.34,2.66,Amsterdam
449,0.7,Ideal,E,SI2,61.2,55.0,5.76,5.68,3.5,Paris
450,0.3,Ideal,D,VS2,62.4,55.0,4.3,4.32,2.69,Surat
451,0.41,Premium,D,VS1,59.3,58.0,4.87,4.85,2.88,Dubai
452,1.51,Premium,I,SI2,61.2,62.0,7.28,7.19,4.43,Surat
453,1.35,Premium,F,SI2,62.8,60.0,7.08,7.0,4.42,Zurich
454,0.73,Very Good,G,VS1,62.4,58.1,5.71,5.75,3.58,Luxembourg
455,0.9,Very Good,I,IF,62.6,59.0,6.12,6.15,3.84,Kimberly
456,0.4,Very Good,F,VVS2,62.0,56.0,4.71,4.74,2.93,New York City
457,1.53,Ideal,E,SI1,62.3,54.2,7.35,7.38,4.59,New York City
458,0.9,Very Good,F,SI1,63.1,58.0,6.18,6.12,3.88,Zurich
459,1.0,Very Good,F,SI1,63.3,58.0,6.28,6.39,4.01,Amsterdam
460,1.5,Good,G,VS2,61.4,58.8,7.32,7.37,4.5,Zurich
461,0.24,Very Good,F,VVS2,60.5,59.0,3.98,4.05,2.43,Paris
462,0.31,Premium,F,VS2,62.7,59.0,4.34,4.3,2.71,Tel Aviv
463,0.39,Ideal,J,VS2,61.8,55.9,4.66,4.69,2.89,Las Vegas
464,0.41,Very Good,E,VS2,59.7,58.0,4.79,4.82,2.87,Antwerp
465,1.02,Very Good,H,SI2,61.1,61.0,6.48,6.51,3.97,Surat
466,0.36,Ideal,D,SI1,62.1,56.0,4.58,4.53,2.83,New York City
467,1.18,Premium,J,SI2,61.3,60.0,6.83,6.78,4.17,Las Vegas
468,1.01,Ideal,E,SI2,61.1,57.0,6.52,6.48,3.97,Kimberly
469,0.59,Ideal,F,SI2,60.1,57.0,5.45,5.49,3.29,Madrid
470,0.72,Very Good,G,VS2,63.3,57.0,5.71,5.67,3.6,Antwerp
471,0.7,Good,F,SI1,63.7,58.0,5.62,5.65,3.59,Amsterdam
472,0.73,Very Good,H,SI1,62.8,55.0,5.71,5.75,3.6,Zurich
473,0.97,Premium,F,VVS2,58.1,60.0,6.53,6.49,3.78,London
474,0.55,Very Good,I,VS2,61.0,57.0,5.31,5.32,3.24,Madrid
475,0.41,Ideal,G,VVS1,62.4,55.0,4.74,4.78,2.97,Surat
476,1.61,Ideal,F,VS2,62.1,57.0,7.49,7.56,4.67,Tel Aviv
477,1.12,Very Good,G,SI1,62.5,58.0,6.6,6.64,4.14,Zurich
478,1.01,Premium,G,I1,61.1,61.0,6.49,6.35,3.92,Surat
479,1.28,Ideal,F,VS1,61.7,55.0,7.01,6.98,4.32,Madrid
480,0.41,Ideal,G,SI1,61.6,55.0,4.81,4.84,2.97,Kimberly
481,1.02,Premium,D,SI1,62.5,59.0,6.4,6.34,3.98,Kimberly
482,1.51,Very Good,F,SI1,63.2,57.0,7.34,7.23,4.6,New York City
483,1.8,Ideal,F,SI1,61.8,57.0,7.83,7.79,4.83,New York City
484,0.44,Ideal,G,VVS1,61.3,56.0,4.91,4.93,3.01,Amsterdam
485,1.0,Very Good,D,SI2,60.8,63.0,6.41,6.36,3.88,Kimberly
486,2.01,Fair,H,SI2,65.3,56.0,7.95,7.86,5.16,New York City
487,0.71,Premium,D,VS2,62.1,60.0,5.68,5.72,3.54,Madrid
488,0.7,Ideal,E,SI2,61.0,55.0,5.76,5.78,3.52,Amsterdam
489,0.72,Good,H,SI2,64.1,58.0,5.68,5.65,3.63,Kimberly
490,0.34,Premium,E,SI2,62.5,59.0,4.46,4.43,2.78,Paris
491,0.42,Ideal,G,SI2,61.5,56.0,4.83,4.79,2.96,Amsterdam
492,1.23,Premium,I,SI2,62.5,60.0,6.82,6.75,4.24,Dubai
493,1.55,Ideal,I,SI1,62.3,54.8,7.37,7.39,4.61,Kimberly
494,0.7,Ideal,I,VS2,62.0,54.1,5.7,5.73,3.55,Antwerp
495,0.3,Premium,F,IF,61.6,58.0,4.3,4.34,2.66,Zurich
496,0.71,Good,E,SI2,62.2,56.0,5.63,5.66,3.51,Madrid
497,1.03,Premium,H,VS2,62.4,58.0,6.47,6.39,4.01,Madrid
498,0.5,Ideal,E,VS1,61.7,57.0,5.11,5.13,3.16,Zurich
499,0.94,Ideal,E,SI2,61.1,55.0,6.29,6.34,3.86,Paris
500,1.2,Ideal,G,VVS2,61.2,56.0,6.92,6.89,4.23,Antwerp
501,0.3,Good,G,VVS2,63.8,57.0,4.24,4.26,2.71,London
502,1.23,Ideal,F,VS2,61.9,57.0,6.86,6.9,4.26,Antwerp
503,0.51,Ideal,E,SI1,62.2,57.0,5.08,5.12,3.17,Antwerp
504,0.23,Very Good,E,VVS1,60.0,59.0,3.97,4.03,2.4,Dubai
505,1.02,Ideal,I,SI1,62.0,56.0,6.44,6.46,4.0,Madrid
506,0.4,Very Good,G,SI2,61.9,61.0,4.69,4.74,2.92,Antwerp
507,0.92,Premium,D,SI2,60.2,61.0,6.32,6.27,3.79,Surat
508,0.57,Ideal,G,VS2,61.0,55.0,5.38,5.4,3.29,Amsterdam
509,0.32,Ideal,D,VVS1,61.8,56.0,4.4,4.37,2.71,Dubai
510,0.5,Ideal,E,SI1,61.2,56.0,5.12,5.15,3.14,Surat
511,0.33,Ideal,G,VS2,61.6,55.0,4.43,4.46,2.74,Luxembourg
512,0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,Las Vegas
513,0.92,Ideal,E,SI2,62.1,57.0,6.26,6.2,3.87,Luxembourg
514,1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,Tel Aviv
515,1.51,Very Good,G,VVS1,62.2,58.0,7.3,7.33,4.55,Madrid
516,1.08,Premium,E,SI2,60.2,58.0,6.68,6.61,4.0,Zurich
517,1.33,Premium,H,SI1,61.5,59.0,7.06,7.03,4.33,Zurich
518,0.47,Premium,E,SI1,59.3,56.0,5.07,5.05,3.02,Antwerp
519,0.54,Premium,D,VS2,60.6,58.0,5.3,5.26,3.2,Kimberly
520,1.31,Very Good,I,SI2,60.9,58.0,7.03,7.07,4.29,Surat
521,0.71,Fair,E,SI2,64.8,63.0,5.63,5.51,3.61,Surat
522,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,London
523,1.26,Ideal,I,VS2,62.6,55.0,6.96,6.91,4.34,London
524,1.33,Very Good,G,VS2,61.7,59.0,7.04,7.09,4.36,London
525,0.55,Ideal,E,VS2,61.4,56.0,5.26,5.32,3.25,Paris
526,0.53,Very Good,I,VS1,61.6,56.7,5.18,5.21,3.2,London
527,0.73,Premium,I,VS1,61.8,62.0,5.78,5.72,3.55,Surat
528,1.02,Ideal,H,SI1,59.9,56.0,6.54,6.51,3.91,Kimberly
529,1.07,Ideal,F,SI2,62.0,56.0,6.51,6.55,4.09,Dubai
530,0.7,Premium,G,VS2,60.8,58.0,5.75,5.8,3.51,London
531,0.57,Fair,F,VVS2,65.2,56.2,5.19,5.23,3.4,Madrid
532,0.7,Very Good,G,VVS2,61.8,60.0,5.63,5.69,3.5,London
533,1.42,Ideal,J,VS2,61.7,56.0,7.22,7.27,4.47,Kimberly
534,0.78,Very Good,H,SI1,63.1,58.0,5.85,5.88,3.7,Luxembourg
535,2.02,Premium,I,SI1,61.4,58.0,8.14,8.07,4.98,New York City
536,1.52,Ideal,D,VS2,61.6,57.0,7.42,7.35,4.55,Zurich
537,1.01,Good,F,SI1,58.8,64.0,6.58,6.51,3.85,Madrid
538,0.54,Ideal,G,VVS2,61.2,56.0,5.25,5.28,3.22,Luxembourg
539,0.66,Ideal,E,SI1,62.8,57.0,5.58,5.53,3.49,Kimberly
540,1.01,Premium,D,VVS2,61.6,58.0,6.44,6.39,3.95,Zurich
541,1.2,Premium,F,VVS2,62.8,60.0,6.79,6.74,4.25,Zurich
542,0.4,Very Good,G,SI1,62.7,59.0,4.67,4.71,2.94,Zurich
543,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,Antwerp
544,0.34,Good,G,SI1,63.9,58.0,4.43,4.4,2.82,Dubai
545,1.51,Premium,J,VS2,60.7,60.0,7.43,7.36,4.49,Luxembourg
546,1.51,Ideal,F,SI2,62.6,55.0,7.35,7.39,4.61,Antwerp
547,0.6,Ideal,D,SI1,61.1,57.0,5.39,5.51,3.33,Las Vegas
548,0.42,Ideal,H,VS1,62.0,57.0,4.8,4.82,2.98,Paris
549,1.31,Ideal,H,VS1,62.4,56.0,7.0,6.98,4.36,Antwerp
550,0.3,Very Good,D,SI1,61.3,60.0,4.26,4.32,2.63,Las Vegas
551,0.4,Ideal,F,VS1,61.4,57.0,4.74,4.77,2.92,London
552,1.04,Good,G,VS1,63.8,57.0,6.4,6.43,4.09,Surat
553,0.57,Very Good,G,VS2,62.6,55.0,5.26,5.31,3.31,New York City
554,0.7,Fair,F,VS1,65.8,59.0,5.58,5.48,3.64,Las Vegas
555,1.51,Premium,G,VVS1,62.2,58.0,7.33,7.3,4.55,Luxembourg
556,1.04,Premium,G,SI1,62.7,59.0,6.47,6.41,4.04,Surat
557,1.18,Ideal,G,VVS1,61.1,57.0,6.78,6.84,4.16,Surat
558,0.52,Ideal,H,VS2,61.6,55.0,5.17,5.19,3.19,Kimberly
559,0.51,Ideal,D,VVS1,61.7,56.0,5.12,5.16,3.17,Surat
560,0.32,Ideal,H,VVS2,62.9,57.0,4.39,4.36,2.75,Antwerp
561,0.74,Ideal,E,SI2,62.2,56.0,5.8,5.84,3.62,Dubai
562,0.42,Very Good,D,SI2,62.9,55.0,4.78,4.82,3.02,Tel Aviv
563,1.15,Premium,I,SI2,62.6,57.0,6.73,6.69,4.2,Luxembourg
564,1.24,Ideal,J,VS2,61.7,55.0,6.91,6.96,4.28,Kimberly
565,0.75,Good,E,SI2,59.7,62.0,5.85,5.88,3.5,Zurich
566,0.75,Premium,G,SI1,59.4,62.0,5.95,5.91,3.52,Tel Aviv
567,0.72,Very Good,J,VVS1,60.1,58.0,5.8,5.84,3.5,Tel Aviv
568,1.28,Premium,H,SI2,62.4,56.0,6.97,6.89,4.34,Paris
569,0.57,Ideal,F,VS2,62.3,55.0,5.36,5.3,3.32,Dubai
570,0.4,Good,F,IF,63.5,58.0,4.69,4.7,2.98,New York City
571,0.9,Very Good,D,SI1,63.4,53.0,6.1,6.17,3.89,Dubai
572,1.52,Good,E,VS1,63.9,56.0,7.21,7.25,4.62,Kimberly
573,2.37,Premium,H,SI2,62.3,57.0,8.55,8.5,5.31,Paris
574,1.2,Premium,H,SI2,61.4,58.0,6.81,6.77,4.17,Amsterdam
575,0.4,Good,D,SI2,64.0,56.0,4.64,4.7,2.99,Kimberly
576,1.08,Very Good,G,SI2,59.8,57.0,6.66,6.72,4.0,Antwerp
577,0.41,Ideal,H,IF,61.1,54.0,4.8,4.85,2.95,Antwerp
578,0.32,Very Good,G,VS2,59.9,57.0,4.47,4.51,2.69,Antwerp
579,1.01,Very Good,J,SI2,62.7,55.0,6.42,6.44,4.03,Amsterdam
580,0.71,Good,E,SI2,58.7,61.0,5.73,5.78,3.38,Kimberly
581,0.31,Ideal,G,IF,61.9,56.0,4.36,4.39,2.71,Zurich
582,0.33,Premium,G,IF,60.8,58.0,4.42,4.46,2.7,Kimberly
583,0.3,Ideal,H,VS2,62.3,54.0,4.31,4.36,2.7,New York City
584,1.54,Very Good,H,SI2,62.3,56.0,7.33,7.38,4.58,Surat
585,0.52,Good,D,VS2,63.4,56.0,5.09,5.16,3.25,Antwerp
586,0.4,Premium,J,IF,62.7,60.0,4.7,4.64,2.93,Amsterdam
587,0.41,Premium,F,VS2,60.3,60.0,4.81,4.84,2.91,Amsterdam
588,0.74,Ideal,D,SI2,62.2,57.0,5.78,5.82,3.61,Luxembourg
589,1.01,Very Good,J,SI2,62.2,58.0,6.37,6.4,3.97,Paris
590,0.57,Ideal,D,SI1,61.0,57.0,5.34,5.31,3.25,New York City
591,0.32,Ideal,D,SI2,59.5,57.0,4.47,4.5,2.67,Madrid
592,0.33,Premium,E,VS1,61.5,59.0,4.46,4.42,2.73,London
593,0.34,Very Good,G,SI1,63.4,57.0,4.45,4.42,2.81,Amsterdam
594,1.51,Ideal,I,SI1,61.8,56.0,7.37,7.34,4.55,London
595,0.41,Ideal,F,VVS1,61.3,54.0,4.79,4.84,2.95,Madrid
596,1.52,Ideal,F,VS2,62.3,55.0,7.37,7.33,4.58,London
597,0.31,Good,G,IF,63.9,58.0,4.3,4.27,2.74,Tel Aviv
598,0.44,Premium,H,VVS1,60.1,58.0,4.92,4.96,2.97,Luxembourg
599,0.9,Premium,I,SI1,61.8,58.0,6.21,6.19,3.83,Antwerp
600,0.71,Very Good,G,SI1,62.7,58.0,5.7,5.72,3.58,Luxembourg
601,1.04,Ideal,G,VVS1,62.2,55.0,6.51,6.48,4.04,Zurich
602,0.7,Good,H,VS2,59.1,65.0,5.85,5.75,3.43,Madrid
603,1.15,Ideal,F,VVS2,62.1,55.0,6.74,6.69,4.17,Kimberly
604,0.26,Ideal,E,VS1,61.8,55.0,4.13,4.09,2.54,Las Vegas
605,0.53,Good,E,SI2,63.4,56.0,5.16,5.18,3.28,Paris
606,0.4,Ideal,H,VVS2,62.1,57.0,4.69,4.74,2.93,Dubai
607,1.04,Premium,H,VS2,61.2,59.0,6.57,6.51,4.0,Kimberly
608,0.54,Ideal,F,VVS2,61.2,55.0,5.27,5.25,3.22,Dubai
609,0.3,Very Good,D,VS2,62.5,59.0,4.23,4.28,2.66,Kimberly
610,0.63,Ideal,G,SI1,62.0,55.0,5.49,5.54,3.42,Dubai
611,0.37,Ideal,D,VS2,61.1,56.0,4.64,4.66,2.84,Surat
612,0.9,Very Good,I,VS2,59.3,59.0,6.27,6.3,3.73,Paris
613,0.71,Ideal,F,VS2,61.2,56.0,5.73,5.77,3.52,Kimberly
614,0.31,Ideal,D,VVS2,62.4,56.0,4.38,4.34,2.72,Kimberly
615,0.31,Good,G,SI1,63.2,54.0,4.31,4.33,2.73,Paris
616,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,New York City
617,0.8,Very Good,G,VS1,59.5,63.0,6.11,6.05,3.61,Madrid
618,1.48,Good,G,IF,59.8,61.0,7.54,7.34,4.45,Antwerp
619,1.29,Ideal,F,VS1,62.3,54.0,7.0,6.93,4.34,Zurich
620,0.41,Ideal,G,VS2,62.2,57.0,4.75,4.77,2.96,Paris
621,0.29,Good,E,VVS2,63.2,60.0,4.17,4.19,2.64,Antwerp
622,0.41,Very Good,G,VS2,59.9,59.0,4.82,4.86,2.9,Madrid
623,0.5,Very Good,D,VVS2,63.3,55.0,5.08,5.06,3.21,New York City
624,1.04,Ideal,F,SI2,62.0,54.0,6.49,6.51,4.03,Madrid
625,1.52,Premium,E,VS1,59.9,60.0,7.39,7.47,4.45,Paris
626,0.5,Good,E,SI2,63.7,55.0,5.03,5.08,3.22,Amsterdam
627,0.3,Premium,E,VS2,62.6,58.0,4.28,4.25,2.67,Surat
628,0.58,Ideal,I,VVS1,63.0,57.0,5.34,5.29,3.35,Las Vegas
629,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,Tel Aviv
630,1.0,Good,H,I1,57.6,61.0,6.67,6.6,3.82,Luxembourg
631,1.24,Ideal,G,VVS2,61.4,58.0,6.88,6.92,4.24,Kimberly
632,0.4,Ideal,G,IF,61.7,57.0,4.7,4.73,2.91,Amsterdam
633,0.36,Ideal,F,IF,61.4,56.0,4.57,4.61,2.82,Zurich
634,0.9,Very Good,G,SI1,61.6,59.0,6.13,6.19,3.8,Antwerp
635,1.51,Good,J,VS2,59.5,61.0,7.45,7.62,4.48,Dubai
636,1.07,Very Good,G,SI2,58.5,61.0,6.59,6.71,3.89,Kimberly
637,0.39,Ideal,F,VVS2,61.3,56.0,4.73,4.77,2.91,Paris
638,2.02,Premium,I,SI2,58.0,58.0,8.34,8.25,4.81,Madrid
639,1.02,Very Good,D,SI2,60.3,58.0,6.48,6.52,3.92,Amsterdam
640,1.22,Premium,H,VS1,63.0,59.0,6.8,6.73,4.26,Surat
641,0.31,Very Good,F,SI1,62.9,57.0,4.31,4.34,2.72,London
642,0.35,Ideal,E,VS1,61.6,57.0,4.5,4.53,2.78,Antwerp
643,1.01,Very Good,H,SI1,59.8,61.0,6.54,6.51,3.9,London
644,0.46,Ideal,J,VVS1,62.5,56.0,4.93,4.89,3.07,Kimberly
645,0.3,Ideal,E,VVS2,61.9,57.0,4.28,4.32,2.66,New York City
646,0.52,Ideal,G,VVS2,61.7,55.0,5.15,5.2,3.19,Surat
647,0.51,Very Good,D,VS2,60.1,59.0,5.16,5.19,3.11,Zurich
648,1.14,Ideal,I,SI1,61.8,57.0,6.76,6.68,4.15,Antwerp
649,0.6,Ideal,H,VS1,61.6,56.0,5.4,5.42,3.33,London
650,1.01,Good,I,SI2,61.8,62.0,6.28,6.35,3.9,Paris
651,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,Surat
652,0.55,Ideal,J,VS1,62.3,56.0,5.26,5.24,3.27,Kimberly
653,0.7,Good,J,VVS2,63.2,55.0,5.63,5.57,3.54,London
654,0.41,Premium,G,VS2,62.6,59.0,4.76,4.73,2.97,Kimberly
655,2.03,Premium,E,SI2,61.5,59.0,8.16,8.24,5.04,Paris
656,0.77,Ideal,F,SI2,61.7,56.0,5.91,5.96,3.66,Surat
657,0.55,Ideal,G,SI2,61.6,56.0,5.28,5.31,3.26,Surat
658,0.31,Ideal,D,VS2,59.4,57.0,4.5,4.45,2.66,Madrid
659,0.41,Premium,G,VS2,60.8,59.0,4.8,4.78,2.91,Kimberly
660,0.74,Very Good,G,VS1,60.9,59.0,5.9,5.86,3.58,New York City
661,0.32,Ideal,D,VVS1,61.8,56.0,4.39,4.41,2.72,Kimberly
662,0.93,Premium,E,SI1,62.8,56.0,6.26,6.2,3.91,Kimberly
663,0.27,Very Good,E,VVS2,58.6,61.0,4.27,4.3,2.51,London
